csd_code,municipality,region,year,survey_month,bedroom_type,vacancy_rate_pct,quality_flag,quality_level
3518005,Ajax,Durham,1994,October,3 Bedroom,0.3,a,Excellent
3518005,Ajax,Durham,1994,October,Total,0.4,a,Excellent
3518005,Ajax,Durham,1995,October,1 Bedroom,2.0,c,Good
3518005,Ajax,Durham,1995,October,2 Bedroom,0.4,a,Excellent
3518005,Ajax,Durham,1995,October,3 Bedroom,0.0,c,Good
3518005,Ajax,Durham,1995,October,Total,0.4,a,Excellent
3518005,Ajax,Durham,1996,October,1 Bedroom,0.9,a,Excellent
3518005,Ajax,Durham,1996,October,2 Bedroom,1.2,a,Excellent
3518005,Ajax,Durham,1996,October,3 Bedroom,0.9,a,Excellent
3518005,Ajax,Durham,1996,October,Total,1.1,a,Excellent
3518005,Ajax,Durham,1997,October,1 Bedroom,1.0,a,Excellent
3518005,Ajax,Durham,1997,October,2 Bedroom,0.7,a,Excellent
3518005,Ajax,Durham,1997,October,3 Bedroom,1.5,a,Excellent
3518005,Ajax,Durham,1997,October,Total,0.9,a,Excellent
3518005,Ajax,Durham,1998,October,1 Bedroom,0.0,a,Excellent
3518005,Ajax,Durham,1998,October,2 Bedroom,0.0,c,Good
3518005,Ajax,Durham,1998,October,3 Bedroom,0.0,c,Good
3518005,Ajax,Durham,1998,October,Total,0.0,b,Very good
3518005,Ajax,Durham,1999,October,1 Bedroom,1.5,c,Good
3518005,Ajax,Durham,1999,October,2 Bedroom,0.9,d,Poor (use with caution)
3518005,Ajax,Durham,1999,October,Total,1.0,a,Excellent
3518005,Ajax,Durham,2000,October,1 Bedroom,2.0,b,Very good
3518005,Ajax,Durham,2000,October,2 Bedroom,1.0,a,Excellent
3518005,Ajax,Durham,2000,October,3 Bedroom,0.3,a,Excellent
3518005,Ajax,Durham,2000,October,Total,0.9,a,Excellent
3518005,Ajax,Durham,2001,October,1 Bedroom,0.0,c,Good
3518005,Ajax,Durham,2001,October,2 Bedroom,1.0,a,Excellent
3518005,Ajax,Durham,2001,October,3 Bedroom,0.7,a,Excellent
3518005,Ajax,Durham,2001,October,Total,0.8,a,Excellent
