REF_DATE,GEO,DGUID,Residence on or off reserve (3),Household type including census family structure (9),Statistics (3C),Shelter-cost-to-income ratio (5),Coordinate,Tenure including presence of mortgage payments and subsidized housing (8):Total - Tenure including presence of mortgage payments and subsidized housing[1],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Owner[2],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):With mortgage[3],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Without mortgage[4],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Renter[5],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Subsidized housing[6],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Not subsidized housing[7],Symbol,"Tenure including presence of mortgage payments and subsidized housing (8):Dwelling provided by the local government, First Nation or Indian band[8]",Symbol
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Number of private households,Not applicable,2368.3.7.1.5,0,,0,,0,,0,,0,,0,,0,,0,
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,2368.3.7.2.1,7914,,3821,,2727,,994,,3925,,684,,3156,,0,...
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,2368.3.7.2.2,4900,,2626,,1592,,955,,2143,,583,,1523,,0,...
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,2368.3.7.2.3,2793,,1108,,1069,,20,,1623,,76,,1514,,0,...
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Confidence interval lower bound of number of private households,30% to less than 100%,2368.3.7.2.4,2653,,1044,,1009,,20,,1553,,74,,1454,,0,...
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Confidence interval lower bound of number of private households,Not applicable,2368.3.7.2.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,2368.3.7.3.1,8219,,4167,,3053,,1239,,4231,,867,,3461,,0,...
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,2368.3.7.3.2,5267,,2932,,1816,,1199,,2490,,747,,1788,,0,...
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,2368.3.7.3.3,3180,,1332,,1314,,62,,1908,,159,,1820,,0,...
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Confidence interval upper bound of number of private households,30% to less than 100%,2368.3.7.3.4,3061,,1289,,1254,,62,,1839,,136,,1739,,0,...
2021,Oshawa,2021A00053518013,Off reserve,One-census-family household without additional persons: one-parent family,Confidence interval upper bound of number of private households,Not applicable,2368.3.7.3.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Number of private households,Total - Shelter-cost-to-income ratio,2368.3.8.1.1,6985,,5015,,4000,,1010,,1970,,65,,1910,,0,
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Number of private households,Spending less than 30% of income on shelter costs,2368.3.8.1.2,6020,,4485,,3470,,1010,,1535,,65,,1475,,0,
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Number of private households,Spending 30% or more of income on shelter costs,2368.3.8.1.3,960,,525,,525,,0,,435,,0,,435,,0,
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Number of private households,30% to less than 100%,2368.3.8.1.4,935,,500,,500,,0,,435,,0,,435,,0,
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Number of private households,Not applicable,2368.3.8.1.5,0,,0,,0,,0,,0,,0,,0,,0,
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,2368.3.8.2.1,6834,,4855,,3860,,932,,1823,,41,,1773,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,2368.3.8.2.2,5889,,4325,,3330,,932,,1399,,41,,1339,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,2368.3.8.2.3,891,,467,,467,,0,...,369,,0,...,369,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Confidence interval lower bound of number of private households,30% to less than 100%,2368.3.8.2.4,866,,434,,434,,0,...,369,,0,...,369,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Confidence interval lower bound of number of private households,Not applicable,2368.3.8.2.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,2368.3.8.3.1,7139,,5181,,4145,,1095,,2129,,104,,2058,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,2368.3.8.3.2,6154,,4651,,3616,,1095,,1684,,104,,1625,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,2368.3.8.3.3,1034,,590,,590,,0,...,512,,0,...,512,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Confidence interval upper bound of number of private households,30% to less than 100%,2368.3.8.3.4,1009,,577,,577,,0,...,512,,0,...,512,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Other census family households,Confidence interval upper bound of number of private households,Not applicable,2368.3.8.3.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Number of private households,Total - Shelter-cost-to-income ratio,2368.3.9.1.1,20285,,9265,,4910,,4355,,11020,,1705,,9315,,0,
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Number of private households,Spending less than 30% of income on shelter costs,2368.3.9.1.2,11250,,6320,,2580,,3730,,4930,,1070,,3865,,0,
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Number of private households,Spending 30% or more of income on shelter costs,2368.3.9.1.3,8815,,2860,,2275,,585,,5950,,630,,5320,,0,
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Number of private households,30% to less than 100%,2368.3.9.1.4,7830,,2445,,1925,,520,,5385,,615,,4765,,0,
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Number of private households,Not applicable,2368.3.9.1.5,225,,85,,50,,35,,135,,0,,130,,0,
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,2368.3.9.2.1,20153,,9054,,4681,,4156,,10858,,1616,,9143,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,2368.3.9.2.2,11018,,6110,,2403,,3571,,4740,,973,,3667,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,2368.3.9.2.3,8584,,2682,,2099,,509,,5760,,554,,5140,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Confidence interval lower bound of number of private households,30% to less than 100%,2368.3.9.2.4,7599,,2287,,1769,,453,,5175,,548,,4575,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Confidence interval lower bound of number of private households,Not applicable,2368.3.9.2.5,172,,53,,27,,20,,100,,0,...,95,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,2368.3.9.3.1,20418,,9481,,5150,,4564,,11184,,1799,,9490,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,2368.3.9.3.2,11487,,6538,,2770,,3897,,5127,,1177,,4074,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,2368.3.9.3.3,9052,,3049,,2466,,672,,6147,,717,,5507,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Confidence interval upper bound of number of private households,30% to less than 100%,2368.3.9.3.4,8068,,2613,,2095,,596,,5603,,691,,4962,,0,...
2021,Oshawa,2021A00053518013,Off reserve,Non-census-family households,Confidence interval upper bound of number of private households,Not applicable,2368.3.9.3.5,295,,137,,91,,62,,182,,0,...,178,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Number of private households,Total - Shelter-cost-to-income ratio,2369.1.1.1.1,35745,,30610,,20995,,9615,,5135,,335,,4800,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Number of private households,Spending less than 30% of income on shelter costs,2369.1.1.1.2,29020,,25980,,16815,,9165,,3040,,225,,2810,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Number of private households,Spending 30% or more of income on shelter costs,2369.1.1.1.3,6650,,4575,,4130,,440,,2075,,110,,1965,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Number of private households,30% to less than 100%,2369.1.1.1.4,6170,,4250,,3865,,385,,1925,,105,,1815,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Number of private households,Not applicable,2369.1.1.1.5,80,,55,,50,,0,,20,,0,,20,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.1.2.1,35704,,30417,,20742,,9364,,4935,,297,,4591,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.1.2.2,28777,,25727,,16562,,8924,,2853,,196,,2633,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.1.2.3,6400,,4366,,3941,,374,,1937,,83,,1827,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval lower bound of number of private households,30% to less than 100%,2369.1.1.2.4,5901,,4041,,3667,,320,,1759,,79,,1659,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval lower bound of number of private households,Not applicable,2369.1.1.2.5,55,,38,,27,,0,...,12,,0,...,12,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.1.3.1,35786,,30804,,21251,,9873,,5343,,378,,5019,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.1.3.2,29265,,26236,,17072,,9413,,3240,,258,,2999,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.1.3.3,6910,,4794,,4328,,517,,2223,,145,,2113,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval upper bound of number of private households,30% to less than 100%,2369.1.1.3.4,6451,,4469,,4074,,463,,2106,,140,,1985,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval upper bound of number of private households,Not applicable,2369.1.1.3.5,117,,79,,91,,0,...,33,,0,...,33,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Number of private households,Total - Shelter-cost-to-income ratio,2369.1.2.1.1,28390,,25405,,18105,,7305,,2990,,120,,2875,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Number of private households,Spending less than 30% of income on shelter costs,2369.1.2.1.2,24275,,22250,,15070,,7185,,2020,,105,,1920,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Number of private households,Spending 30% or more of income on shelter costs,2369.1.2.1.3,4080,,3120,,3005,,120,,960,,15,,940,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Number of private households,30% to less than 100%,2369.1.2.1.4,3925,,2995,,2905,,90,,930,,15,,910,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Number of private households,Not applicable,2369.1.2.1.5,40,,30,,30,,0,,0,,0,,0,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.2.2.1,28319,,25243,,17913,,7104,,2822,,93,,2707,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.2.2.2,24082,,22067,,14868,,6984,,1882,,79,,1783,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.2.2.3,3881,,2971,,2856,,86,,845,,8,,834,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Confidence interval lower bound of number of private households,30% to less than 100%,2369.1.2.2.4,3736,,2856,,2766,,64,,807,,8,,796,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Confidence interval lower bound of number of private households,Not applicable,2369.1.2.2.5,24,,15,,15,,0,...,0,...,0,...,0,...,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.2.3.1,28461,,25568,,18300,,7512,,3168,,155,,3053,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.2.3.2,24469,,22434,,15275,,7392,,2168,,140,,2068,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.2.3.3,4289,,3277,,3162,,168,,1090,,29,,1059,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Confidence interval upper bound of number of private households,30% to less than 100%,2369.1.2.3.4,4123,,3141,,3051,,126,,1072,,29,,1041,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Census-family households,Confidence interval upper bound of number of private households,Not applicable,2369.1.2.3.5,66,,58,,58,,0,...,0,...,0,...,0,...,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Number of private households,Total - Shelter-cost-to-income ratio,2369.1.3.1.1,24980,,22470,,15680,,6790,,2515,,115,,2400,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Number of private households,Spending less than 30% of income on shelter costs,2369.1.3.1.2,21220,,19600,,12925,,6675,,1615,,95,,1525,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Number of private households,Spending 30% or more of income on shelter costs,2369.1.3.1.3,3730,,2840,,2730,,110,,885,,15,,865,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Number of private households,30% to less than 100%,2369.1.3.1.4,3585,,2730,,2640,,85,,855,,15,,840,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Number of private households,Not applicable,2369.1.3.1.5,35,,30,,30,,0,,0,,0,,0,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.3.2.1,24889,,22267,,15488,,6579,,2357,,88,,2252,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.3.2.2,20997,,19377,,12713,,6465,,1497,,77,,1408,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.3.2.3,3532,,2701,,2591,,76,,780,,8,,751,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval lower bound of number of private households,30% to less than 100%,2369.1.3.2.4,3397,,2591,,2511,,59,,741,,8,,726,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval lower bound of number of private households,Not applicable,2369.1.3.2.5,15,,15,,15,,0,...,0,...,0,...,0,...,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.3.3.1,25072,,22675,,15875,,7007,,2683,,150,,2558,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.3.3.2,21445,,19825,,13141,,6892,,1742,,118,,1652,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.3.3.3,3939,,2986,,2876,,159,,1004,,29,,996,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval upper bound of number of private households,30% to less than 100%,2369.1.3.3.4,3784,,2876,,2776,,122,,986,,29,,971,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval upper bound of number of private households,Not applicable,2369.1.3.3.5,82,,58,,58,,0,...,0,...,0,...,0,...,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Number of private households,Total - Shelter-cost-to-income ratio,2369.1.4.1.1,21720,,20050,,13875,,6175,,1670,,35,,1630,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Number of private households,Spending less than 30% of income on shelter costs,2369.1.4.1.2,19075,,17880,,11780,,6100,,1195,,35,,1165,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Number of private households,Spending 30% or more of income on shelter costs,2369.1.4.1.3,2610,,2145,,2070,,75,,465,,0,,460,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Number of private households,30% to less than 100%,2369.1.4.1.4,2510,,2065,,2010,,55,,450,,0,,445,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Number of private households,Not applicable,2369.1.4.1.5,35,,30,,30,,0,,0,,0,,0,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.4.2.1,21578,,19857,,13693,,5994,,1552,,20,,1512,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.4.2.2,18882,,17677,,11598,,5929,,1088,,20,,1058,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.4.2.3,2433,,1998,,1942,,50,,390,,0,...,385,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval lower bound of number of private households,30% to less than 100%,2369.1.4.2.4,2333,,1927,,1882,,32,,376,,0,...,371,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval lower bound of number of private households,Not applicable,2369.1.4.2.5,15,,15,,15,,0,...,0,...,0,...,0,...,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.4.3.1,21863,,20244,,14060,,6361,,1797,,62,,1757,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.4.3.2,19269,,18085,,11965,,6276,,1312,,62,,1283,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.4.3.3,2800,,2303,,2207,,112,,554,,0,...,549,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval upper bound of number of private households,30% to less than 100%,2369.1.4.3.4,2700,,2213,,2147,,95,,539,,0,...,534,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval upper bound of number of private households,Not applicable,2369.1.4.3.5,82,,58,,58,,0,...,0,...,0,...,0,...,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Number of private households,Total - Shelter-cost-to-income ratio,2369.1.5.1.1,8950,,8170,,4030,,4135,,785,,15,,770,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Number of private households,Spending less than 30% of income on shelter costs,2369.1.5.1.2,7880,,7385,,3300,,4080,,500,,0,,485,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Number of private households,Spending 30% or more of income on shelter costs,2369.1.5.1.3,1055,,775,,725,,55,,280,,0,,280,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Number of private households,30% to less than 100%,2369.1.5.1.4,1010,,740,,705,,35,,270,,0,,265,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Number of private households,Not applicable,2369.1.5.1.5,0,,0,,0,,0,,0,,0,,0,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.5.2.1,8819,,7999,,3870,,4005,,681,,8,,675,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.5.2.2,7689,,7184,,3151,,3950,,416,,0,...,402,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.5.2.3,940,,689,,648,,32,,225,,0,...,225,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Confidence interval lower bound of number of private households,30% to less than 100%,2369.1.5.2.4,895,,663,,628,,20,,215,,0,...,211,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Confidence interval lower bound of number of private households,Not applicable,2369.1.5.2.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.5.3.1,9083,,8345,,4196,,4270,,905,,29,,879,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.5.3.2,8076,,7592,,3456,,4215,,600,,0,...,586,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.5.3.3,1184,,872,,811,,95,,348,,0,...,348,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Confidence interval upper bound of number of private households,30% to less than 100%,2369.1.5.3.4,1140,,826,,791,,62,,338,,0,...,334,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,Without children,Confidence interval upper bound of number of private households,Not applicable,2369.1.5.3.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Number of private households,Total - Shelter-cost-to-income ratio,2369.1.6.1.1,12765,,11880,,9845,,2040,,885,,20,,865,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Number of private households,Spending less than 30% of income on shelter costs,2369.1.6.1.2,11190,,10495,,8475,,2020,,700,,20,,675,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Number of private households,Spending 30% or more of income on shelter costs,2369.1.6.1.3,1555,,1370,,1350,,20,,185,,0,,185,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Number of private households,30% to less than 100%,2369.1.6.1.4,1500,,1325,,1305,,20,,180,,0,,180,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Number of private households,Not applicable,2369.1.6.1.5,20,,0,,0,,0,,0,,0,,0,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.6.2.1,12643,,11748,,9683,,1931,,798,,12,,778,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.6.2.2,11018,,10343,,8294,,1901,,614,,12,,598,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.6.2.3,1419,,1253,,1224,,12,,141,,0,...,141,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Confidence interval lower bound of number of private households,30% to less than 100%,2369.1.6.2.4,1383,,1208,,1188,,8,,136,,0,...,136,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Confidence interval lower bound of number of private households,Not applicable,2369.1.6.2.5,8,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,2369.1.6.3.1,12888,,12013,,10009,,2155,,982,,33,,962,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,2369.1.6.3.2,11364,,10649,,8660,,2146,,798,,33,,762,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,2369.1.6.3.3,1704,,1498,,1489,,33,,243,,0,...,243,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Confidence interval upper bound of number of private households,30% to less than 100%,2369.1.6.3.4,1627,,1453,,1433,,53,,239,,0,...,239,,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,With children,Confidence interval upper bound of number of private households,Not applicable,2369.1.6.3.5,53,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Number of private households,Total - Shelter-cost-to-income ratio,2369.1.7.1.1,3260,,2420,,1805,,610,,845,,80,,765,,0,
2021,Clarington,2021A00053518017,Total - Residence on or off reserve,One-census-family household without additional persons: one-parent family,Number of private households,Spending less than 30% of income on shelter costs,2369.1.7.1.2,2150,,1725,,1150,,575,,425,,60,,360,,0,
