REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1992-03,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,82.8,,,,1
1992-03,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,86.8,,,,1
1992-03,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,83.2,,,,1
1992-03,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,83.2,,,,1
1992-03,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,82.8,,,,1
1992-03,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.5,,,,1
1992-03,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,81.7,,,,1
1992-04,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,83.7,,,,1
1992-04,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,87.4,,,,1
1992-04,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,86.1,,,,1
1992-04,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,86.2,,,,1
1992-04,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,82.9,,,,1
1992-04,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,86.5,,,,1
1992-04,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,83.3,,,,1
1992-04,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,83.5,,,,1
1992-04,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,82.7,,,,1
1992-04,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.2,,,,1
1992-04,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,81.7,,,,1
1992-05,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,83.8,,,,1
1992-05,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,87.6,,,,1
1992-05,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,86.2,,,,1
1992-05,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,86.2,,,,1
1992-05,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,83.1,,,,1
1992-05,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,86.7,,,,1
1992-05,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,83.4,,,,1
1992-05,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,83.5,,,,1
1992-05,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,82.9,,,,1
1992-05,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.4,,,,1
1992-05,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,81.8,,,,1
1992-06,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,84.0,,,,1
1992-06,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,87.5,,,,1
1992-06,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,86.4,,,,1
1992-06,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,86.5,,,,1
1992-06,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,83.3,,,,1
1992-06,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,86.5,,,,1
1992-06,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,83.7,,,,1
1992-06,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,83.7,,,,1
1992-06,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,83.1,,,,1
1992-06,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.3,,,,1
1992-06,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,82.1,,,,1
