REF_DATE,GEO,DGUID,Rental unit type,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299262,18.7.1,2370,,,,0
2020-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425051,18.1.1,1160,E,,,0
2020-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425052,18.2.1,1490,,,,0
2020-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425053,18.3.1,1740,,,,0
2020-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425054,18.4.1,2010,,,,0
2020-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Room,Average asking rent,Dollars,81,units,0,v1675425055,18.5.1,590,,,,0
2020-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299257,22.6.1,1760,,,,0
2020-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299258,22.7.1,2300,,,,0
2020-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425041,22.1.1,1070,,,,0
2020-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425042,22.2.1,1320,,,,0
2020-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425043,22.3.1,1550,,,,0
2020-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425044,22.4.1,1800,,,,0
2020-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Room,Average asking rent,Dollars,81,units,0,v1675425045,22.5.1,590,,,,0
2020-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299259,27.6.1,2450,,,,0
2020-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299260,27.7.1,3210,,,,0
2020-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425046,27.1.1,1510,,,,0
