REF_DATE,GEO,DGUID,Rental unit type,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299259,27.6.1,2560,,,,0
2019-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299260,27.7.1,3370,,,,0
2019-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425046,27.1.1,1720,,,,0
2019-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425047,27.2.1,1980,,,,0
2019-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average paid rent,Dollars,81,units,0,v1938684513,27.2.2,1340,,,,0
2019-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425048,27.3.1,2550,,,,0
2019-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average paid rent,Dollars,81,units,0,v1938684514,27.3.2,1490,,,,0
2019-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425049,27.4.1,2860,,,,0
2019-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Room,Average asking rent,Dollars,81,units,0,v1675425050,27.5.1,730,,,,0
2019-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299261,18.6.1,1800,,,,0
2019-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299262,18.7.1,2180,,,,0
2019-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425051,18.1.1,1000,,,,0
2019-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425052,18.2.1,1420,,,,0
2019-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425053,18.3.1,1710,,,,0
2019-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425054,18.4.1,1960,,,,0
2019-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Room,Average asking rent,Dollars,81,units,0,v1675425055,18.5.1,600,,,,0
2019-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299257,22.6.1,1820,E,,,0
2019-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299258,22.7.1,2060,,,,0
2019-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425041,22.1.1,1020,,,,0
2019-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425042,22.2.1,1220,,,,0
2019-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425043,22.3.1,1460,,,,0
2019-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425044,22.4.1,1730,,,,0
2019-07,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Room,Average asking rent,Dollars,81,units,0,v1675425045,22.5.1,600,,,,0
2019-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299259,27.6.1,2530,,,,0
2019-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299260,27.7.1,3090,E,,,0
2019-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425046,27.1.1,1730,,,,0
2019-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425047,27.2.1,1970,,,,0
2019-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average paid rent,Dollars,81,units,0,v1938684513,27.2.2,1360,,,,0
2019-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425048,27.3.1,2480,,,,0
2019-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average paid rent,Dollars,81,units,0,v1938684514,27.3.2,1510,,,,0
2019-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425049,27.4.1,2840,,,,0
2019-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Room,Average asking rent,Dollars,81,units,0,v1675425050,27.5.1,730,,,,0
2019-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299261,18.6.1,1900,,,,0
2019-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299262,18.7.1,2160,,,,0
2019-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425051,18.1.1,1010,,,,0
2019-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425052,18.2.1,1410,,,,0
2019-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425053,18.3.1,1700,,,,0
2019-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425054,18.4.1,1940,,,,0
2019-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Room,Average asking rent,Dollars,81,units,0,v1675425055,18.5.1,600,,,,0
2019-10,"Oshawa, Census metropolitan area (CMA)",2021S0503532,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299257,22.6.1,1650,,,,0
2019-10,"Oshawa, Census metropolitan area (CMA)",2021S0503532,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299258,22.7.1,2060,,,,0
2019-10,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425041,22.1.1,1030,,,,0
2019-10,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425042,22.2.1,1260,,,,0
2019-10,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425043,22.3.1,1470,,,,0
2019-10,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425044,22.4.1,1800,,,,0
2019-10,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Room,Average asking rent,Dollars,81,units,0,v1675425045,22.5.1,590,,,,0
2019-10,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299259,27.6.1,2490,,,,0
2019-10,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299260,27.7.1,2980,,,,0
2019-10,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425046,27.1.1,1590,,,,0
2019-10,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425047,27.2.1,1980,,,,0
2019-10,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average paid rent,Dollars,81,units,0,v1938684513,27.2.2,1370,,,,0
2019-10,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425048,27.3.1,2480,,,,0
2019-10,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average paid rent,Dollars,81,units,0,v1938684514,27.3.2,1520,,,,0
2019-10,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425049,27.4.1,2800,,,,0
2019-10,"Toronto, Census metropolitan area (CMA)",2021S0503535,Room,Average asking rent,Dollars,81,units,0,v1675425050,27.5.1,710,,,,0
2020-01,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299261,18.6.1,1930,,,,0
2020-01,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299262,18.7.1,2220,,,,0
2020-01,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425051,18.1.1,1080,,,,0
2020-01,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425052,18.2.1,1440,,,,0
2020-01,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425053,18.3.1,1730,,,,0
2020-01,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425054,18.4.1,1960,,,,0
2020-01,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Room,Average asking rent,Dollars,81,units,0,v1675425055,18.5.1,590,,,,0
2020-01,"Oshawa, Census metropolitan area (CMA)",2021S0503532,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299257,22.6.1,1640,,,,0
2020-01,"Oshawa, Census metropolitan area (CMA)",2021S0503532,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299258,22.7.1,2080,,,,0
2020-01,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425041,22.1.1,1090,,,,0
2020-01,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425042,22.2.1,1320,,,,0
2020-01,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425043,22.3.1,1530,,,,0
2020-01,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425044,22.4.1,1850,,,,0
2020-01,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Room,Average asking rent,Dollars,81,units,0,v1675425045,22.5.1,590,,,,0
2020-01,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299259,27.6.1,2520,,,,0
2020-01,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299260,27.7.1,3000,,,,0
2020-01,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425046,27.1.1,1610,,,,0
2020-01,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425047,27.2.1,2000,,,,0
2020-01,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average paid rent,Dollars,81,units,0,v1938684513,27.2.2,1390,,,,0
2020-01,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425048,27.3.1,2490,,,,0
2020-01,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average paid rent,Dollars,81,units,0,v1938684514,27.3.2,1550,,,,0
2020-01,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425049,27.4.1,2840,,,,0
2020-01,"Toronto, Census metropolitan area (CMA)",2021S0503535,Room,Average asking rent,Dollars,81,units,0,v1675425050,27.5.1,720,,,,0
2020-04,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299261,18.6.1,1940,,,,0
2020-04,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299262,18.7.1,2300,,,,0
2020-04,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425051,18.1.1,1120,,,,0
2020-04,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425052,18.2.1,1470,,,,0
2020-04,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425053,18.3.1,1730,,,,0
2020-04,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425054,18.4.1,1970,,,,0
2020-04,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Room,Average asking rent,Dollars,81,units,0,v1675425055,18.5.1,570,,,,0
2020-04,"Oshawa, Census metropolitan area (CMA)",2021S0503532,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299257,22.6.1,1730,,,,0
2020-04,"Oshawa, Census metropolitan area (CMA)",2021S0503532,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299258,22.7.1,2180,,,,0
2020-04,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425041,22.1.1,1100,,,,0
2020-04,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425042,22.2.1,1330,,,,0
2020-04,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425043,22.3.1,1530,,,,0
2020-04,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425044,22.4.1,1790,,,,0
2020-04,"Oshawa, Census metropolitan area (CMA)",2021S0503532,Room,Average asking rent,Dollars,81,units,0,v1675425045,22.5.1,590,,,,0
2020-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299259,27.6.1,2520,,,,0
2020-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299260,27.7.1,3130,,,,0
2020-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425046,27.1.1,1560,,,,0
2020-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425047,27.2.1,1930,,,,0
2020-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average paid rent,Dollars,81,units,0,v1938684513,27.2.2,1380,,,,0
2020-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425048,27.3.1,2370,,,,0
2020-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average paid rent,Dollars,81,units,0,v1938684514,27.3.2,1570,,,,0
2020-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425049,27.4.1,2780,,,,0
2020-04,"Toronto, Census metropolitan area (CMA)",2021S0503535,Room,Average asking rent,Dollars,81,units,0,v1675425050,27.5.1,720,,,,0
2020-07,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299261,18.6.1,1980,,,,0
