REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2003,"Vaughan (CY), Ontario",2021A00053519028,Persons,249,units,0,v1592182763,2139,217965,,,,0
2003,"Oakville (T), Ontario",2021A00053524001,Persons,249,units,0,v1592182793,2142,159083,,,,0
2003,"Richmond Hill (T), Ontario",2021A00053519038,Persons,249,units,0,v1592182765,2143,153445,,,,0
2003,"Burlington (CY), Ontario",2021A00053524002,Persons,249,units,0,v1592182794,2144,162264,,,,0
2003,"Oshawa (CY), Ontario",2021A00053518013,Persons,249,units,0,v1592182757,2145,145814,,,,0
2003,"Whitby (T), Ontario",2021A00053518009,Persons,249,units,0,v1592182756,2149,100803,,,,0
2003,"Milton (T), Ontario",2021A00053524009,Persons,249,units,0,v1592182795,2152,41608,,,,0
2003,"Ajax (T), Ontario",2021A00053518005,Persons,249,units,0,v1592182755,2154,83840,,,,0
2003,"Clarington (MU), Ontario",2021A00053518017,Persons,249,units,0,v1592182758,2159,76140,,,,0
2003,"Pickering (CY), Ontario",2021A00053518001,Persons,249,units,0,v1592182754,2160,91226,,,,0
2003,"Newmarket (T), Ontario",2021A00053519048,Persons,249,units,0,v1592182768,2162,73818,,,,0
2003,"Caledon (T), Ontario",2021A00053521024,Persons,249,units,0,v1592182776,2165,55794,,,,0
2003,"Halton Hills (T), Ontario",2021A00053524015,Persons,249,units,0,v1592182796,2169,53161,,,,0
2003,"Aurora (T), Ontario",2021A00053519046,Persons,249,units,0,v1592182767,2170,45945,,,,0
2003,"Whitchurch-Stouffville (T), Ontario",2021A00053519044,Persons,249,units,0,v1592182766,2174,24327,,,,0
2003,"Georgina (T), Ontario",2021A00053519070,Persons,249,units,0,v1592182771,2177,43138,,,,0
2003,"East Gwillimbury (T), Ontario",2021A00053519054,Persons,249,units,0,v1592182770,2187,22058,,,,0
2003,"King (TP), Ontario",2021A00053519049,Persons,249,units,0,v1592182769,2196,19985,,,,0
2003,"Scugog (TP), Ontario",2021A00053518020,Persons,249,units,0,v1592182759,2212,21448,,,,0
2003,"Uxbridge (TP), Ontario",2021A00053518029,Persons,249,units,0,v1592182761,2214,18789,,,,0
2003,"Brock (TP), Ontario",2021A00053518039,Persons,249,units,0,v1592182762,2255,12469,,,,0
2004,Canada,2021A00001124,Persons,249,units,0,v1592180531,1,31938807,,,,0
2004,Ontario,2021A000235,Persons,249,units,0,v1592180537,2130,12389641,,,,0
2004,"Toronto (C), Ontario",2021A00053520005,Persons,249,units,0,v1592182773,2132,2591737,,,,0
2004,"Mississauga (CY), Ontario",2021A00053521005,Persons,249,units,0,v1592182774,2134,679298,,,,0
2004,"Brampton (CY), Ontario",2021A00053521010,Persons,249,units,0,v1592182775,2135,410414,,,,0
2004,"Markham (CY), Ontario",2021A00053519036,Persons,249,units,0,v1592182764,2138,254168,,,,0
2004,"Vaughan (CY), Ontario",2021A00053519028,Persons,249,units,0,v1592182763,2139,229494,,,,0
2004,"Oakville (T), Ontario",2021A00053524001,Persons,249,units,0,v1592182793,2142,164017,,,,0
2004,"Richmond Hill (T), Ontario",2021A00053519038,Persons,249,units,0,v1592182765,2143,159737,,,,0
2004,"Burlington (CY), Ontario",2021A00053524002,Persons,249,units,0,v1592182794,2144,165705,,,,0
2004,"Oshawa (CY), Ontario",2021A00053518013,Persons,249,units,0,v1592182757,2145,146519,,,,0
2004,"Whitby (T), Ontario",2021A00053518009,Persons,249,units,0,v1592182756,2149,105815,,,,0
2004,"Milton (T), Ontario",2021A00053524009,Persons,249,units,0,v1592182795,2152,46287,,,,0
2004,"Ajax (T), Ontario",2021A00053518005,Persons,249,units,0,v1592182755,2154,87354,,,,0
2004,"Clarington (MU), Ontario",2021A00053518017,Persons,249,units,0,v1592182758,2159,77887,,,,0
2004,"Pickering (CY), Ontario",2021A00053518001,Persons,249,units,0,v1592182754,2160,91522,,,,0
2004,"Newmarket (T), Ontario",2021A00053519048,Persons,249,units,0,v1592182768,2162,75545,,,,0
2004,"Caledon (T), Ontario",2021A00053521024,Persons,249,units,0,v1592182776,2165,57193,,,,0
2004,"Halton Hills (T), Ontario",2021A00053524015,Persons,249,units,0,v1592182796,2169,54839,,,,0
2004,"Aurora (T), Ontario",2021A00053519046,Persons,249,units,0,v1592182767,2170,47466,,,,0
2004,"Whitchurch-Stouffville (T), Ontario",2021A00053519044,Persons,249,units,0,v1592182766,2174,24817,,,,0
