csd_code,municipality,region,year,survey_month,bedroom_type,avg_monthly_rent,quality_flag,quality_level,source_table
3518005,Ajax,Durham,2006,October,1 Bedroom,737.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2006,October,2 Bedroom,940.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2006,October,3 Bedroom,1128.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2006,October,Total,959.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2007,October,1 Bedroom,716.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2007,October,2 Bedroom,899.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2007,October,3 Bedroom,974.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2007,October,Total,904.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2008,October,1 Bedroom,776.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2008,October,2 Bedroom,967.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2008,October,3 Bedroom,1070.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2008,October,Total,963.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2009,October,1 Bedroom,796.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2009,October,2 Bedroom,934.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2009,October,3 Bedroom,1011.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2009,October,Total,938.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2010,October,1 Bedroom,801.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2010,October,2 Bedroom,991.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2010,October,3 Bedroom,1099.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2010,October,Total,1005.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2011,October,2 Bedroom,1035.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2011,October,3 Bedroom,1077.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2011,October,Total,1039.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2012,October,2 Bedroom,1050.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2012,October,3 Bedroom,1105.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2012,October,Total,1064.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2013,October,1 Bedroom,818.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2013,October,2 Bedroom,1027.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2013,October,3 Bedroom,1248.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2013,October,Total,1067.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2014,October,1 Bedroom,882.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2014,October,2 Bedroom,1094.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2014,October,3 Bedroom,1255.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2014,October,Total,1115.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2015,October,1 Bedroom,902.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2015,October,2 Bedroom,1094.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2015,October,3 Bedroom,1319.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2015,October,Total,1128.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2016,October,2 Bedroom,1212.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2016,October,3 Bedroom,1272.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2016,October,Total,1232.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2017,October,1 Bedroom,976.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2017,October,2 Bedroom,1105.0,a,Excellent,rent_history_3518005_ajax
