csd_code,municipality,survey_period,bedroom_type,value,reliability
3520005,Toronto,2019 October,Studio,2.1,a
3520005,Toronto,2019 October,1 Bedroom,1.7,a
3520005,Toronto,2019 October,2 Bedroom,1.3,a
3520005,Toronto,2019 October,3 Bedroom +,0.9,a
3520005,Toronto,2019 October,Total,1.5,a
3520005,Toronto,2020 October,Studio,5.7,a
3520005,Toronto,2020 October,1 Bedroom,4.3,a
3520005,Toronto,2020 October,2 Bedroom,2.8,a
3520005,Toronto,2020 October,3 Bedroom +,2.3,a
3520005,Toronto,2020 October,Total,3.6,a
3520005,Toronto,2021 October,Studio,8.2,b
3520005,Toronto,2021 October,1 Bedroom,6.1,a
3520005,Toronto,2021 October,2 Bedroom,3.4,a
3520005,Toronto,2021 October,3 Bedroom +,2.3,a
3520005,Toronto,2021 October,Total,4.9,a
3520005,Toronto,2022 October,Studio,2.7,a
3520005,Toronto,2022 October,1 Bedroom,1.9,a
3520005,Toronto,2022 October,2 Bedroom,1.3,a
3520005,Toronto,2022 October,3 Bedroom +,1.2,a
3520005,Toronto,2022 October,Total,1.7,a
3520005,Toronto,2023 October,Studio,1.7,a
3520005,Toronto,2023 October,1 Bedroom,1.7,a
3520005,Toronto,2023 October,2 Bedroom,1.0,a
3520005,Toronto,2023 October,3 Bedroom +,1.0,a
3520005,Toronto,2023 October,Total,1.4,a
3520005,Toronto,2024 October,Studio,4.5,b
3520005,Toronto,2024 October,1 Bedroom,2.7,a
3520005,Toronto,2024 October,2 Bedroom,1.7,a
3520005,Toronto,2024 October,3 Bedroom +,1.3,a
3520005,Toronto,2024 October,Total,2.3,a
3520005,Toronto,2025 October,Studio,4.2,a
3520005,Toronto,2025 October,1 Bedroom,3.5,a
3520005,Toronto,2025 October,2 Bedroom,2.1,a
3520005,Toronto,2025 October,3 Bedroom +,1.7,b
3520005,Toronto,2025 October,Total,2.8,a
3521005,Mississauga,1990 October,Studio,0.0,b
3521005,Mississauga,1990 October,1 Bedroom,2.1,a
3521005,Mississauga,1990 October,2 Bedroom,2.3,a
3521005,Mississauga,1990 October,3 Bedroom +,3.0,a
3521005,Mississauga,1990 October,Total,2.3,a
