csd_code,municipality,survey_period,bedroom_type,value,reliability
3520005,Toronto,2019 October,1 Bedroom,"1,374",a
3520005,Toronto,2019 October,2 Bedroom,"1,592",a
3520005,Toronto,2019 October,3 Bedroom +,"1,764",a
3520005,Toronto,2019 October,Total,"1,476",a
3520005,Toronto,2020 October,Studio,"1,211",a
3520005,Toronto,2020 October,1 Bedroom,"1,431",a
3520005,Toronto,2020 October,2 Bedroom,"1,664",a
3520005,Toronto,2020 October,3 Bedroom +,"1,901",a
3520005,Toronto,2020 October,Total,"1,545",a
3520005,Toronto,2021 October,Studio,"1,225",a
3520005,Toronto,2021 October,1 Bedroom,"1,447",a
3520005,Toronto,2021 October,2 Bedroom,"1,705",a
3520005,Toronto,2021 October,3 Bedroom +,"1,970",a
3520005,Toronto,2021 October,Total,"1,577",a
3520005,Toronto,2022 October,Studio,"1,317",a
3520005,Toronto,2022 October,1 Bedroom,"1,538",a
3520005,Toronto,2022 October,2 Bedroom,"1,811",a
3520005,Toronto,2022 October,3 Bedroom +,"2,077",a
3520005,Toronto,2022 October,Total,"1,678",a
3520005,Toronto,2023 October,Studio,"1,427",a
3520005,Toronto,2023 October,1 Bedroom,"1,708",a
3520005,Toronto,2023 October,2 Bedroom,"1,990",a
3520005,Toronto,2023 October,3 Bedroom +,"2,222",a
3520005,Toronto,2023 October,Total,"1,845",a
3520005,Toronto,2024 October,Studio,"1,456",a
3520005,Toronto,2024 October,1 Bedroom,"1,715",a
3520005,Toronto,2024 October,2 Bedroom,"1,984",a
3520005,Toronto,2024 October,3 Bedroom +,"2,232",a
3520005,Toronto,2024 October,Total,"1,851",a
3520005,Toronto,2025 October,Studio,"1,499",a
3520005,Toronto,2025 October,1 Bedroom,"1,763",a
3520005,Toronto,2025 October,2 Bedroom,"2,055",a
3520005,Toronto,2025 October,3 Bedroom +,"2,342",a
3520005,Toronto,2025 October,Total,"1,916",a
3521005,Mississauga,1990 October,Studio,418,a
3521005,Mississauga,1990 October,1 Bedroom,595,a
3521005,Mississauga,1990 October,2 Bedroom,747,a
3521005,Mississauga,1990 October,3 Bedroom +,871,a
3521005,Mississauga,1990 October,Total,710,a
3521005,Mississauga,1991 October,Studio,502,a
3521005,Mississauga,1991 October,1 Bedroom,619,a
3521005,Mississauga,1991 October,2 Bedroom,778,a
3521005,Mississauga,1991 October,3 Bedroom +,894,a
3521005,Mississauga,1991 October,Total,736,a
3521005,Mississauga,1992 October,Studio,508,a
3521005,Mississauga,1992 October,1 Bedroom,654,a
3521005,Mississauga,1992 October,2 Bedroom,802,a
3521005,Mississauga,1992 October,3 Bedroom +,893,a
3521005,Mississauga,1992 October,Total,760,a
3521005,Mississauga,1993 October,Studio,544,a
3521005,Mississauga,1993 October,1 Bedroom,660,a
3521005,Mississauga,1993 October,2 Bedroom,819,a
3521005,Mississauga,1993 October,3 Bedroom +,903,a
3521005,Mississauga,1993 October,Total,771,a
3521005,Mississauga,1994 October,Studio,551,a
3521005,Mississauga,1994 October,1 Bedroom,676,a
3521005,Mississauga,1994 October,2 Bedroom,810,a
3521005,Mississauga,1994 October,3 Bedroom +,918,a
3521005,Mississauga,1994 October,Total,772,a
3521005,Mississauga,1995 October,Studio,562,a
3521005,Mississauga,1995 October,1 Bedroom,682,a
3521005,Mississauga,1995 October,2 Bedroom,833,a
3521005,Mississauga,1995 October,3 Bedroom +,929,a
3521005,Mississauga,1995 October,Total,787,a
3521005,Mississauga,1996 October,Studio,578,a
3521005,Mississauga,1996 October,1 Bedroom,699,a
3521005,Mississauga,1996 October,2 Bedroom,847,a
3521005,Mississauga,1996 October,3 Bedroom +,942,a
3521005,Mississauga,1996 October,Total,801,a
3521005,Mississauga,1997 October,Studio,589,a
3521005,Mississauga,1997 October,1 Bedroom,714,a
3521005,Mississauga,1997 October,2 Bedroom,845,a
3521005,Mississauga,1997 October,3 Bedroom +,942,a
3521005,Mississauga,1997 October,Total,806,a
3521005,Mississauga,1998 October,Studio,639,a
3521005,Mississauga,1998 October,1 Bedroom,758,a
3521005,Mississauga,1998 October,2 Bedroom,900,a
3521005,Mississauga,1998 October,3 Bedroom +,"1,028",a
3521005,Mississauga,1998 October,Total,860,a
3521005,Mississauga,1999 October,Studio,695,a
3521005,Mississauga,1999 October,1 Bedroom,771,a
3521005,Mississauga,1999 October,2 Bedroom,897,a
3521005,Mississauga,1999 October,3 Bedroom +,"1,036",a
3521005,Mississauga,1999 October,Total,865,a
3521005,Mississauga,2000 October,Studio,666,a
3521005,Mississauga,2000 October,1 Bedroom,837,a
3521005,Mississauga,2000 October,2 Bedroom,991,a
3521005,Mississauga,2000 October,3 Bedroom +,"1,125",a
3521005,Mississauga,2000 October,Total,945,a
3521005,Mississauga,2001 October,Studio,668,a
3521005,Mississauga,2001 October,1 Bedroom,868,a
3521005,Mississauga,2001 October,2 Bedroom,"1,002",a
3521005,Mississauga,2001 October,3 Bedroom +,"1,175",a
3521005,Mississauga,2001 October,Total,970,a
3521005,Mississauga,2002 October,Studio,690,a
3521005,Mississauga,2002 October,1 Bedroom,903,a
3521005,Mississauga,2002 October,2 Bedroom,"1,044",a
3521005,Mississauga,2002 October,3 Bedroom +,"1,204",a
3521005,Mississauga,2002 October,Total,"1,007",a
3521005,Mississauga,2003 October,Studio,685,a
3521005,Mississauga,2003 October,1 Bedroom,897,a
3521005,Mississauga,2003 October,2 Bedroom,"1,038",a
3521005,Mississauga,2003 October,3 Bedroom +,"1,205",a
3521005,Mississauga,2003 October,Total,"1,002",a
3521005,Mississauga,2004 October,Studio,694,a
3521005,Mississauga,2004 October,1 Bedroom,889,a
3521005,Mississauga,2004 October,2 Bedroom,"1,027",a
3521005,Mississauga,2004 October,3 Bedroom +,"1,224",a
3521005,Mississauga,2004 October,Total,"1,003",a
3521005,Mississauga,2005 October,Studio,702,a
3521005,Mississauga,2005 October,1 Bedroom,903,a
3521005,Mississauga,2005 October,2 Bedroom,"1,035",a
3521005,Mississauga,2005 October,3 Bedroom +,"1,217",a
3521005,Mississauga,2005 October,Total,"1,010",a
3521005,Mississauga,2006 October,Studio,696,a
3521005,Mississauga,2006 October,1 Bedroom,898,a
3521005,Mississauga,2006 October,2 Bedroom,"1,033",a
3521005,Mississauga,2006 October,3 Bedroom +,"1,194",a
3521005,Mississauga,2006 October,Total,"1,001",a
3521005,Mississauga,2007 October,Studio,716,a
3521005,Mississauga,2007 October,1 Bedroom,891,a
3521005,Mississauga,2007 October,2 Bedroom,"1,021",a
3521005,Mississauga,2007 October,3 Bedroom +,"1,232",a
3521005,Mississauga,2007 October,Total,"1,002",a
3521005,Mississauga,2008 October,Studio,715,a
3521005,Mississauga,2008 October,1 Bedroom,925,a
3521005,Mississauga,2008 October,2 Bedroom,"1,066",a
3521005,Mississauga,2008 October,3 Bedroom +,"1,264",a
3521005,Mississauga,2008 October,Total,"1,042",a
3521005,Mississauga,2009 October,Studio,725,a
3521005,Mississauga,2009 October,1 Bedroom,928,a
3521005,Mississauga,2009 October,2 Bedroom,"1,067",a
3521005,Mississauga,2009 October,3 Bedroom +,"1,292",a
3521005,Mississauga,2009 October,Total,"1,049",a
3521005,Mississauga,2010 October,Studio,723,a
3521005,Mississauga,2010 October,1 Bedroom,949,a
3521005,Mississauga,2010 October,2 Bedroom,"1,090",a
3521005,Mississauga,2010 October,3 Bedroom +,"1,281",a
3521005,Mississauga,2010 October,Total,"1,064",a
3521005,Mississauga,2011 October,Studio,757,a
3521005,Mississauga,2011 October,1 Bedroom,975,a
3521005,Mississauga,2011 October,2 Bedroom,"1,116",a
3521005,Mississauga,2011 October,3 Bedroom +,"1,331",a
3521005,Mississauga,2011 October,Total,"1,094",a
3521005,Mississauga,2012 October,Studio,770,a
3521005,Mississauga,2012 October,1 Bedroom,995,a
3521005,Mississauga,2012 October,2 Bedroom,"1,145",a
3521005,Mississauga,2012 October,3 Bedroom +,"1,361",a
3521005,Mississauga,2012 October,Total,"1,121",a
3521005,Mississauga,2013 October,Studio,800,a
3521005,Mississauga,2013 October,1 Bedroom,"1,013",a
3521005,Mississauga,2013 October,2 Bedroom,"1,170",a
3521005,Mississauga,2013 October,3 Bedroom +,"1,384",a
3521005,Mississauga,2013 October,Total,"1,146",a
3521005,Mississauga,2014 October,Studio,827,a
3521005,Mississauga,2014 October,1 Bedroom,"1,050",a
3521005,Mississauga,2014 October,2 Bedroom,"1,210",a
3521005,Mississauga,2014 October,3 Bedroom +,"1,417",a
3521005,Mississauga,2014 October,Total,"1,177",a
3521005,Mississauga,2015 October,Studio,827,a
3521005,Mississauga,2015 October,1 Bedroom,"1,067",a
3521005,Mississauga,2015 October,2 Bedroom,"1,243",a
3521005,Mississauga,2015 October,3 Bedroom +,"1,442",a
3521005,Mississauga,2015 October,Total,"1,205",a
3521005,Mississauga,2016 October,Studio,866,a
3521005,Mississauga,2016 October,1 Bedroom,"1,109",a
3521005,Mississauga,2016 October,2 Bedroom,"1,276",a
3521005,Mississauga,2016 October,3 Bedroom +,"1,501",a
3521005,Mississauga,2016 October,Total,"1,244",a
